"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce (full horizontal rear)"		"Total Early Reflection"	
"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"
1,230.47	83.4585	1,230.47	80.8243	1,230.47	83.1932	1,230.47	78.8262	1,230.47	70.5496	1,230.47	81.0647
1,274.41	83.7586	1,274.41	80.6487	1,274.41	83.9715	1,274.41	79.9659	1,274.41	72.8456	1,274.41	81.5941
1,319.82	84.1641	1,319.82	80.5802	1,319.82	84.4644	1,319.82	79.1222	1,319.82	71.3846	1,319.82	81.7618
1,366.7	84.9684	1,366.7	83.1322	1,366.7	84.4619	1,366.7	79.8149	1,366.7	71.8667	1,366.7	82.6017
1,413.57	84.8048	1,413.57	82.5359	1,413.57	84.7161	1,413.57	79.52	1,413.57	71.7719	1,413.57	82.4671
1,463.38	84.9115	1,463.38	81.2719	1,463.38	84.2605	1,463.38	79.7594	1,463.38	70.3344	1,463.38	82.1272
1,516.11	85.1141	1,516.11	81.539	1,516.11	84.4873	1,516.11	79.6591	1,516.11	70.7702	1,516.11	82.3176
1,568.85	84.2911	1,568.85	81.8146	1,568.85	83.2804	1,568.85	79.0081	1,568.85	71.3354	1,568.85	81.6226
1,624.51	83.7339	1,624.51	82.52	1,624.51	82.4322	1,624.51	78.0803	1,624.51	70.9456	1,624.51	81.2495
1,681.64	84.1281	1,681.64	81.8261	1,681.64	83.1671	1,681.64	79.1217	1,681.64	70.1526	1,681.64	81.5252
