"Horizontal Reflections"
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
4,141.11	88.0083	4,141.11	84.9342	4,141.11	71.7584	4,141.11	83.3717
4,287.6	88.8928	4,287.6	85.6118	4,287.6	70.8662	4,287.6	84.1205
4,438.48	88.7674	4,438.48	84.9076	4,438.48	70.5744	4,438.48	83.7733
4,595.21	88.0616	4,595.21	84.1729	4,595.21	70.851	4,595.21	83.0849
4,756.35	89.1066	4,756.35	84.9436	4,756.35	69.7396	4,756.35	83.9789
4,924.8	88.7341	4,924.8	84.4304	4,924.8	70.556	4,924.8	83.5855
5,097.66	88.9811	5,097.66	84.6615	5,097.66	70.4293	5,097.66	83.8177
5,277.83	88.6431	5,277.83	84.465	5,277.83	69.7657	5,277.83	83.5205
5,463.87	89.0964	5,463.87	84.9888	5,463.87	69.2442	5,463.87	83.9788
5,657.23	88.8091	5,657.23	84.5858	5,657.23	69.0092	5,657.23	83.6523
5,856.45	88.5027	5,856.45	84.065	5,856.45	69.0079	5,856.45	83.2791
6,062.99	89.1391	6,062.99	84.3141	6,062.99	68.3861	6,062.99	83.7681
6,276.86	88.6228	6,276.86	83.5971	6,276.86	66.4549	6,276.86	83.1708
6,498.05	88.3591	6,498.05	83.2977	6,498.05	66.4289	6,498.05	82.899
6,726.56	88.7717	6,726.56	83.5446	6,726.56	67.4766	6,726.56	83.27
6,963.87	87.8233	6,963.87	83.0828	6,963.87	66.7569	6,963.87	82.4745
7,209.96	88.4096	7,209.96	83.7105	7,209.96	66.6098	7,209.96	83.0645
7,464.84	88.0119	7,464.84	83.5671	7,464.84	67.012	7,464.84	82.7607
7,727.05	88.0943	7,727.05	83.5233	7,727.05	65.23	7,727.05	82.7798
7,999.51	87.997	7,999.51	83.2058	7,999.51	65.2741	7,999.51	82.6124
8,282.23	87.8965	8,282.23	82.8158	8,282.23	65.6568	8,282.23	82.4269
8,573.73	87.7628	8,573.73	82.4427	8,573.73	63.6278	8,573.73	82.2045
8,876.95	87.4607	8,876.95	81.8958	8,876.95	64.2666	8,876.95	81.8398
9,188.96	87.4782	9,188.96	81.6966	9,188.96	63.5784	9,188.96	81.7914
9,514.16	87.6533	9,514.16	81.4995	9,514.16	63.3238	9,514.16	81.8651
9,849.61	87.6891	9,849.61	81.1666	9,849.61	63.4604	9,849.61	81.8104
10,196.8	87.8615	10,196.8	81.1639	10,196.8	63.4895	10,196.8	81.9404
10,555.7	87.8186	10,555.7	80.7903	10,555.7	64.2391	10,555.7	81.8296
10,927.7	87.9321	10,927.7	80.834	10,927.7	64.2518	10,927.7	81.927
11,313	87.8182	11,313	80.7164	11,313	62.9465	11,313	81.8028
11,712.9	87.7555	11,712.9	80.5933	11,712.9	63.6228	11,712.9	81.7327
12,126	87.7278	12,126	80.3471	12,126	62.9532	12,126	81.6543
12,553.7	87.5343	12,553.7	79.8496	12,553.7	62.3379	12,553.7	81.3972
12,996.1	87.3141	12,996.1	79.4467	12,996.1	63.142	12,996.1	81.1497
13,454.6	87.0505	13,454.6	79.0203	13,454.6	62.6874	13,454.6	80.8543
13,929.2	86.7343	13,929.2	78.822	13,929.2	62.8272	13,929.2	80.5637
14,419.9	86.5132	14,419.9	78.5322	14,419.9	62.4142	14,419.9	80.3282
14,928.2	86.0421	14,928.2	78.0948	14,928.2	61.3089	14,928.2	79.8584
15,455.6	85.6305	15,455.6	77.3248	15,455.6	60.5533	15,455.6	79.3801
16,000.5	85.2288	16,000.5	76.2038	16,000.5	60.04	16,000.5	78.8614
16,564.5	84.8006	16,564.5	74.7943	16,564.5	58.806	16,564.5	78.2935
17,148.9	84.6042	17,148.9	73.8863	17,148.9	58.5438	17,148.9	78.0145
17,752.4	84.2551	17,752.4	71.7271	17,752.4	57.4296	17,752.4	77.4992
18,379.4	83.564	18,379.4	69.8189	18,379.4	57.4693	18,379.4	76.7336
19,026.9	82.89	19,026.9	68.4746	19,026.9	56.5529	19,026.9	76.0228
19,697.8	82.0467	19,697.8	67.8656	19,697.8	55.7255	19,697.8	75.1913
19,999.5	81.7339	19,999.5	67.2907	19,999.5	56.7349	19,999.5	74.8746
