Freq[Hz]      Mag   Phase[Deg]
3517.32     79.543     0.000
3568.48     79.627     0.000
3620.39     79.620     0.000
3673.05     79.525     0.000
3726.47     79.372     0.000
3780.67     79.206     0.000
3835.67     79.063     0.000
3891.46     78.952     0.000
3948.06     78.868     0.000
4005.49     78.818     0.000
4063.75     78.820     0.000
4122.86     78.880     0.000
4182.82     78.977     0.000
4243.66     79.074     0.000
4305.39     79.148     0.000
4368.01     79.208     0.000
4431.55     79.259     0.000
4496.01     79.288     0.000
4561.40     79.279     0.000
4627.75     79.237     0.000
4695.06     79.177     0.000
4763.35     79.100     0.000
4832.64     79.003     0.000
4902.93     78.914     0.000
4974.24     78.889     0.000
5046.60     78.948     0.000
5120.00     79.028     0.000
5194.47     79.052     0.000
5270.03     79.009     0.000
5346.68     78.945     0.000
5424.45     78.885     0.000
5503.35     78.839     0.000
5583.40     78.858     0.000
5664.61     78.973     0.000
5747.01     79.122     0.000
5830.60     79.238     0.000
5915.41     79.327     0.000
6001.45     79.393     0.000
6088.74     79.393     0.000
6177.30     79.299     0.000
6267.15     79.153     0.000
6358.31     79.013     0.000
6450.80     78.921     0.000
6544.62     78.908     0.000
6639.82     78.952     0.000
6736.40     79.001     0.000
6834.38     79.051     0.000
6933.79     79.100     0.000
7034.64     79.108     0.000
7136.96     79.069     0.000
7240.77     79.019     0.000
7346.09     78.949     0.000
7452.94     78.842     0.000
7561.35     78.721     0.000
7671.33     78.585     0.000
7782.91     78.467     0.000
7896.12     78.439     0.000
8010.97     78.528     0.000
8127.49     78.711     0.000
8245.71     78.901     0.000
8365.65     78.992     0.000
8487.33     78.964     0.000
8610.78     78.852     0.000
8736.03     78.703     0.000
8863.09     78.623     0.000
8992.01     78.662     0.000
9122.80     78.812     0.000
9255.50     79.021     0.000
9390.12     79.230     0.000
9526.70     79.386     0.000
9665.27     79.417     0.000
9805.86     79.313     0.000
9948.49     79.105     0.000
10093.2     78.946     0.000
10240.0     78.961     0.000
10388.9     79.104     0.000
10540.1     79.204     0.000
10693.4     79.119     0.000
10848.9     78.867     0.000
11006.7     78.615     0.000
11166.8     78.516     0.000
11329.2     78.570     0.000
11494.0     78.692     0.000
11661.2     78.791     0.000
11830.8     78.787     0.000
12002.9     78.619     0.000
12177.5     78.319     0.000
12354.6     78.127     0.000
12534.3     78.245     0.000
12716.6     78.486     0.000
12901.6     78.501     0.000
13089.2     78.174     0.000
13279.6     77.747     0.000
13472.8     77.574     0.000
13668.8     77.631     0.000
13867.6     77.625     0.000
14069.3     77.418     0.000
14273.9     77.125     0.000
14481.5     76.945     0.000
14692.2     77.021     0.000
14905.9     77.262     0.000
15122.7     77.442     0.000
15342.7     77.496     0.000
15565.8     77.611     0.000
15792.2     77.874     0.000
16021.9     78.061     0.000
16255.0     78.051     0.000
16491.4     78.001     0.000
16731.3     78.024     0.000
16974.7     78.015     0.000
17221.6     77.947     0.000
17472.1     77.808     0.000
17726.2     77.574     0.000
17984.0     77.404     0.000
18245.6     77.344     0.000
18511.0     77.129     0.000
18780.2     76.692     0.000
19053.4     76.292     0.000
19330.5     75.950     0.000
19611.7     75.420     0.000
19897.0     74.864     0.000
20186.4     74.815     0.000
20480.0     74.767     0.000
20777.9     74.718     0.000
21080.1     74.670     0.000
21386.7     74.622     0.000
21697.8     74.573     0.000
22013.4     74.525     0.000
22333.6     74.477     0.000
22658.4     74.430     0.000
22988.0     74.382     0.000
23322.4     74.334     0.000
23661.6     74.287     0.000
24005.8     74.239     0.000
24355.0     74.191     0.000
24709.2     74.144     0.000
25068.6     74.097     0.000
25433.2     74.050     0.000
25803.2     74.003     0.000
26178.5     73.956     0.000
26559.3     73.910     0.000
26945.6     73.863     0.000
27337.5     73.816     0.000
27735.2     73.769     0.000
28138.6     73.723     0.000
28547.9     73.677     0.000
28963.1     73.630     0.000
29384.4     73.584     0.000
29811.8     73.538     0.000
30245.4     73.492     0.000
30685.3     73.446     0.000
31131.7     73.400     0.000
31584.5     73.354     0.000
32043.9     73.308     0.000
32510.0     73.263     0.000
32982.8     73.217     0.000
33462.6     73.172     0.000
33949.3     73.126     0.000
34443.1     73.081     0.000
34944.1     73.036     0.000
35452.4     72.991     0.000
35968.0     72.946     0.000
36491.2     72.900     0.000
37022.0     72.856     0.000
37560.5     72.811     0.000
38106.8     72.766     0.000
38661.1     72.721     0.000
39223.4     72.676     0.000
39793.9     72.632     0.000
