"Horizontal Reflections"							
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
5,856.45	83.0431	5,856.45	79.403	5,856.45	65.2845	5,856.45	78.1409
6,062.99	83.5847	6,062.99	79.1311	6,062.99	64.707	6,062.99	78.3689
6,276.86	84.2022	6,276.86	79.8154	6,276.86	64.5378	6,276.86	78.9923
6,498.05	84.5376	6,498.05	80.1999	6,498.05	64.6377	6,498.05	79.34
6,727.29	84.7902	6,727.29	80.3542	6,727.29	64.7301	6,727.29	79.5567
6,964.6	84.617	6,964.6	80.1672	6,964.6	65.079	6,964.6	79.3885
7,209.96	83.9889	7,209.96	79.8401	7,209.96	64.8253	7,209.96	78.8702
7,464.11	83.3609	7,464.11	79.2758	7,464.11	64.2326	7,464.11	78.2652
7,727.78	83.0047	7,727.78	78.781	7,727.78	63.1239	7,727.78	77.8463
8,000.24	83.2919	8,000.24	78.6164	8,000.24	62.2979	8,000.24	77.965
8,282.23	84.2512	8,282.23	79.2776	8,282.23	62.3723	8,282.23	78.8186
8,574.46	84.5968	8,574.46	79.5334	8,574.46	62.8066	8,574.46	79.1378
8,876.22	84.0665	8,876.22	78.9562	8,876.22	62.2089	8,876.22	78.5924
9,189.7	83.2448	9,189.7	78.0128	9,189.7	61.6077	9,189.7	77.7371
9,513.43	82.7975	9,513.43	77.369	9,513.43	60.6425	9,513.43	77.2261
9,848.88	83.0682	9,848.88	77.3775	9,848.88	59.8841	9,848.88	77.4124
10,196.8	83.4187	10,196.8	77.4567	10,196.8	60.0486	10,196.8	77.6881
10,556.4	83.5204	10,556.4	77.6204	10,556.4	60.6862	10,556.4	77.8114
10,928.5	83.2494	10,928.5	77.6865	10,928.5	60.9602	10,928.5	77.6383
11,313.7	82.5674	11,313.7	77.266	11,313.7	60.9622	11,313.7	77.0396
11,712.9	81.5641	11,712.9	76.6073	11,712.9	60.4911	11,712.9	76.1472
12,126	81.1894	12,126	76.7311	12,126	60.235	12,126	75.9344
12,553.7	81.4139	12,553.7	77.0986	12,553.7	60.8533	12,553.7	76.2129
12,996.1	81.2486	12,996.1	77.3096	12,996.1	60.9872	12,996.1	76.1841
13,454.6	80.7934	13,454.6	77.0018	13,454.6	61.2075	13,454.6	75.794
13,928.5	80.4435	13,928.5	76.3544	13,928.5	60.8156	13,928.5	75.3365
14,419.9	80.7301	14,419.9	75.9513	14,419.9	60.2169	14,419.9	75.3774
14,928.2	81.2295	14,928.2	75.692	14,928.2	59.5461	14,928.2	75.633
15,454.8	81.4528	15,454.8	75.2537	15,454.8	59.1889	15,454.8	75.6726
15,999.8	80.7809	15,999.8	74.1092	15,999.8	58.2399	15,999.8	74.8829
16,564.5	80.5286	16,564.5	73.4045	16,564.5	57.6037	16,564.5	74.5253
17,148.2	80.7552	17,148.2	72.5441	17,148.2	57.0862	17,148.2	74.5328
17,753.2	80.7311	17,753.2	71.4445	17,753.2	56.4292	17,753.2	74.3321
18,379.4	79.8776	18,379.4	69.5586	18,379.4	55.0585	18,379.4	73.341
19,027.6	79.5792	19,027.6	68.1363	19,027.6	54.0041	19,027.6	72.9203
19,698.5	79.5666	19,698.5	67.5102	19,698.5	53.5193	19,698.5	72.8516
19,999.5	79.275	19,999.5	67.2568	19,999.5	53.8144	19,999.5	72.5669
