"Contour Plot"		
""		
"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa)"	"Theta / deg"
4,013.67	57.0831	-180
4,019.53	57.0689	-180
4,025.39	57.0481	-180
4,031.25	57.0213	-180
4,037.11	56.989	-180
4,042.97	56.9517	-180
4,048.83	56.9099	-180
4,054.69	56.8645	-180
4,060.55	56.816	-180
4,066.41	56.7652	-180
4,072.27	56.713	-180
4,078.12	56.6601	-180
4,083.98	56.6074	-180
4,089.84	56.5557	-180
4,095.7	56.5058	-180
4,101.56	56.4587	-180
4,107.42	56.415	-180
4,113.28	56.3754	-180
4,119.14	56.3406	-180
4,125	56.311	-180
4,130.86	56.2873	-180
4,136.72	56.2695	-180
4,142.58	56.2579	-180
4,148.44	56.2525	-180
4,154.3	56.2533	-180
4,160.16	56.2599	-180
4,166.02	56.2721	-180
4,171.88	56.2894	-180
4,177.73	56.3253	-180
4,183.59	56.3524	-180
4,189.45	56.3824	-180
4,195.31	56.3992	-180
4,201.17	56.4318	-180
4,207.03	56.4655	-180
4,212.89	56.4996	-180
4,218.75	56.5334	-180
4,224.61	56.5663	-180
4,230.47	56.5977	-180
4,236.33	56.6271	-180
4,242.19	56.6538	-180
4,248.05	56.6776	-180
4,253.91	56.6979	-180
4,259.77	56.7145	-180
4,265.62	56.727	-180
4,271.48	56.7353	-180
4,277.34	56.7391	-180
4,283.2	56.7382	-180
4,289.06	56.7325	-180
4,294.92	56.722	-180
4,300.78	56.7065	-180
4,306.64	56.6861	-180
4,312.5	56.6606	-180
4,318.36	56.6302	-180
4,324.22	56.5947	-180
4,330.08	56.5543	-180
4,335.94	56.509	-180
4,341.8	56.4588	-180
4,347.66	56.4039	-180
4,353.52	56.3442	-180
4,359.38	56.28	-180
4,365.23	56.2113	-180
4,371.09	56.1383	-180
4,376.95	56.0611	-180
4,382.81	55.9799	-180
4,388.67	55.895	-180
4,394.53	55.8065	-180
4,400.39	55.7149	-180
4,406.25	55.6204	-180
4,412.11	55.5234	-180
4,417.97	55.4243	-180
4,423.83	55.3235	-180
4,429.69	55.2216	-180
4,435.55	55.1191	-180
4,441.41	55.0167	-180
4,447.27	54.9149	-180
4,453.12	54.8144	-180
4,458.98	54.7159	-180
4,464.84	54.6201	-180
4,470.7	54.5277	-180
4,476.56	54.4394	-180
4,482.42	54.3558	-180
4,488.28	54.2775	-180
4,494.14	54.2051	-180
4,500	54.139	-180
4,505.86	54.0796	-180
4,511.72	54.027	-180
4,517.58	53.9814	-180
4,523.44	53.9427	-180
4,529.3	53.9108	-180
4,535.16	53.8854	-180
4,541.02	53.8659	-180
4,546.88	53.8519	-180
4,552.73	53.8426	-180
4,558.59	53.8373	-180
4,564.45	53.8351	-180
4,570.31	53.835	-180
4,576.17	53.836	-180
4,582.03	53.8372	-180
4,587.89	53.8374	-180
4,593.75	53.8357	-180
4,599.61	53.831	-180
4,605.47	53.8223	-180
4,611.33	53.8086	-180
4,617.19	53.7889	-180
4,623.05	53.7624	-180
4,628.91	53.7283	-180
4,634.77	53.6858	-180
4,640.62	53.634	-180
4,646.48	53.5725	-180
4,652.34	53.5006	-180
4,658.2	53.4177	-180
4,664.06	53.3236	-180
4,669.92	53.2177	-180
4,675.78	53.0999	-180
4,681.64	52.9699	-180
4,687.5	52.8278	-180
4,693.36	52.6734	-180
4,699.22	52.5071	-180
4,705.08	52.3289	-180
4,710.94	52.1395	-180
4,716.8	51.9392	-180
4,722.66	51.7289	-180
4,728.52	51.5094	-180
4,734.38	51.2818	-180
4,740.23	51.0476	-180
4,746.09	50.808	-180
4,751.95	50.5649	-180
4,757.81	50.3203	-180
4,763.67	50.0761	-180
4,769.53	49.8347	-180
4,775.39	49.5985	-180
4,781.25	49.3699	-180
4,787.11	49.1514	-180
4,792.97	48.9451	-180
4,798.83	48.7533	-180
4,804.69	48.5778	-180
4,810.55	48.4198	-180
4,816.41	48.2803	-180
4,822.27	48.1596	-180
4,828.12	48.0577	-180
4,833.98	47.9736	-180
4,839.84	47.9062	-180
4,845.7	47.8538	-180
4,851.56	47.8142	-180
4,857.42	47.785	-180
4,863.28	47.7638	-180
4,869.14	47.7479	-180
4,875	47.7347	-180
4,880.86	47.7214	-180
4,886.72	47.7058	-180
4,892.58	47.6854	-180
4,898.44	47.658	-180
4,904.3	47.6216	-180
4,910.16	47.5745	-180
4,916.02	47.515	-180
4,921.88	47.4415	-180
4,927.73	47.3528	-180
4,933.59	47.2475	-180
4,939.45	47.1245	-180
4,945.31	46.9829	-180
4,951.17	46.8216	-180
4,957.03	46.6398	-180
4,962.89	46.4366	-180
4,968.75	46.2112	-180
4,974.61	45.9629	-180
4,980.47	45.6909	-180
4,986.33	45.3944	-180
4,992.19	45.0729	-180
4,998.05	44.7256	-180
5,003.91	44.3521	-180
5,009.77	43.9519	-180
5,015.62	43.5248	-180
5,021.48	43.0709	-180
5,027.34	42.5909	-180
5,033.2	42.086	-180
5,039.06	41.5588	-180
5,044.92	41.0131	-180
5,050.78	40.4552	-180
5,056.64	39.8938	-180
5,062.5	39.3412	-180
5,068.36	38.8133	-180
5,074.22	38.3291	-180
5,080.08	37.9093	-180
5,085.94	37.5744	-180
5,091.8	37.3417	-180
5,097.66	37.2227	-180
5,103.52	37.2217	-180
5,109.38	37.3351	-180
