* Freq[Hz]      Mag   Phase[Deg]
1015.94     68.898     0.000
1030.71     68.810     0.000
1045.71     68.751     0.000
1060.92     68.725     0.000
1076.35     68.725     0.000
1092.00     68.743     0.000
1107.89     68.785     0.000
1124.00     68.823     0.000
1140.35     68.859     0.000
1156.94     68.880     0.000
1173.77     68.893     0.000
1190.84     68.912     0.000
1208.16     68.881     0.000
1225.73     68.824     0.000
1243.56     68.775     0.000
1261.65     68.705     0.000
1280.00     68.643     0.000
1298.62     68.585     0.000
1317.51     68.547     0.000
1336.67     68.521     0.000
1356.11     68.508     0.000
1375.84     68.534     0.000
1395.85     68.579     0.000
1416.15     68.640     0.000
1436.75     68.702     0.000
1457.65     68.758     0.000
1478.85     68.803     0.000
1500.36     68.829     0.000
1522.19     68.817     0.000
1544.33     68.769     0.000
1566.79     68.685     0.000
1589.58     68.574     0.000
1612.70     68.421     0.000
1636.16     68.283     0.000
1659.95     68.154     0.000
1684.10     68.072     0.000
1708.60     68.048     0.000
1733.45     68.091     0.000
1758.66     68.196     0.000
1784.24     68.313     0.000
1810.19     68.429     0.000
1836.52     68.529     0.000
1863.24     68.584     0.000
1890.34     68.597     0.000
1917.83     68.572     0.000
1945.73     68.510     0.000
1974.03     68.437     0.000
2002.74     68.352     0.000
2031.87     68.277     0.000
2061.43     68.213     0.000
2091.41     68.148     0.000
2121.83     68.092     0.000
2152.69     68.022     0.000
2184.01     67.932     0.000
2215.77     67.848     0.000
2248.00     67.761     0.000
2280.70     67.673     0.000
2313.87     67.587     0.000
2347.53     67.507     0.000
2381.68     67.440     0.000
2416.32     67.404     0.000
2451.46     67.393     0.000
2487.12     67.441     0.000
2523.30     67.527     0.000
2560.00     67.672     0.000
2597.24     67.826     0.000
2635.01     67.973     0.000
2673.34     68.040     0.000
2712.23     68.070     0.000
2751.68     68.020     0.000
2791.70     67.937     0.000
2832.31     67.870     0.000
2873.50     67.811     0.000
2915.30     67.783     0.000
2957.70     67.784     0.000
3000.72     67.797     0.000
3044.37     67.862     0.000
3088.65     67.978     0.000
3133.58     68.161     0.000
3179.16     68.339     0.000
3225.40     68.472     0.000
3272.31     68.555     0.000
3319.91     68.634     0.000
3368.20     68.758     0.000
3417.19     68.908     0.000
3466.89     68.987     0.000
3517.32     68.935     0.000
3568.48     68.771     0.000
3620.39     68.606     0.000
3673.05     68.529     0.000
3726.47     68.506     0.000
3780.67     68.451     0.000
3835.67     68.342     0.000
3891.46     68.236     0.000
3948.06     68.214     0.000
4005.49     68.254     0.000
4063.75     68.264     0.000
4122.86     68.211     0.000
4182.82     68.165     0.000
4243.66     68.201     0.000
4305.39     68.258     0.000
4368.01     68.200     0.000
4431.55     68.049     0.000
4496.01     67.998     0.000
4561.40     68.188     0.000
4627.75     68.367     0.000
4695.06     68.334     0.000
4763.35     68.204     0.000
4832.64     68.222     0.000
4902.93     68.375     0.000
4974.24     68.480     0.000
5046.60     68.504     0.000
5120.00     68.480     0.000
5194.47     68.418     0.000
5270.03     68.287     0.000
5346.68     68.007     0.000
5424.45     67.726     0.000
5503.35     67.637     0.000
5583.40     67.688     0.000
5664.61     67.755     0.000
5747.01     67.978     0.000
5830.60     68.314     0.000
5915.41     68.532     0.000
6001.45     68.569     0.000
6088.74     68.524     0.000
6177.30     68.359     0.000
6267.15     68.021     0.000
6358.31     67.738     0.000
6450.80     67.721     0.000
6544.62     67.791     0.000
6639.82     67.955     0.000
6736.40     68.253     0.000
6834.38     68.406     0.000
6933.79     68.417     0.000
7034.64     68.525     0.000
7136.96     68.549     0.000
7240.77     68.490     0.000
7346.09     68.560     0.000
7452.94     68.526     0.000
7561.35     68.422     0.000
7671.33     68.485     0.000
7782.91     68.496     0.000
7896.12     68.591     0.000
8010.97     68.759     0.000
8127.49     68.827     0.000
8245.71     68.934     0.000
8365.65     68.849     0.000
8487.33     68.618     0.000
8610.78     68.476     0.000
8736.03     68.323     0.000
8863.09     68.440     0.000
8992.01     68.584     0.000
9122.80     68.668     0.000
9255.50     68.739     0.000
9390.12     68.618     0.000
9526.70     68.511     0.000
9665.27     68.251     0.000
9805.86     68.125     0.000
9948.49     68.010     0.000
10093.2     68.173     0.000
10240.0     68.328     0.000
10388.9     68.409     0.000
10540.1     68.144     0.000
10693.4     67.613     0.000
10848.9     67.077     0.000
11006.7     67.041     0.000
11166.8     67.364     0.000
11329.2     67.743     0.000
11494.0     67.786     0.000
11661.2     67.612     0.000
11830.8     67.295     0.000
12002.9     67.133     0.000
12177.5     67.237     0.000
12354.6     67.564     0.000
12534.3     67.865     0.000
12716.6     67.695     0.000
12901.6     67.147     0.000
13089.2     66.817     0.000
13279.6     67.201     0.000
13472.8     67.774     0.000
13668.8     67.820     0.000
13867.6     67.431     0.000
14069.3     67.385     0.000
14273.9     67.863     0.000
14481.5     68.237     0.000
14692.2     68.140     0.000
14905.9     68.001     0.000
15122.7     68.131     0.000
15342.7     68.260     0.000
15565.8     68.532     0.000
15792.2     68.754     0.000
16021.9     68.341     0.000
16255.0     67.809     0.000
16491.4     68.210     0.000
16731.3     68.695     0.000
16974.7     68.574     0.000
17221.6     68.305     0.000
17472.1     68.227     0.000
17726.2     68.372     0.000
17984.0     68.563     0.000
18245.6     68.473     0.000
18511.0     68.165     0.000
18780.2     68.127     0.000
19053.4     68.478     0.000
19330.5     68.554     0.000
19611.7     68.399     0.000
19897.0     68.147     0.000
20186.4     68.172     0.000
20480.0     68.197     0.000
20777.9     68.222     0.000
21080.1     68.247     0.000
21386.7     68.273     0.000
21697.8     68.299     0.000
22013.4     68.325     0.000
22333.6     68.351     0.000
22658.4     68.377     0.000
22988.0     68.404     0.000
23322.4     68.431     0.000
23661.6     68.458     0.000
24005.8     68.485     0.000
24355.0     68.513     0.000
24709.2     68.540     0.000
25068.6     68.568     0.000
25433.2     68.597     0.000
25803.2     68.625     0.000
26178.5     68.654     0.000
26559.3     68.682     0.000
26945.6     68.711     0.000
27337.5     68.741     0.000
27735.2     68.770     0.000
28138.6     68.799     0.000
28547.9     68.829     0.000
28963.1     68.859     0.000
29384.4     68.889     0.000
29811.8     68.920     0.000
30245.4     68.951     0.000
30685.3     68.981     0.000
31131.7     69.013     0.000
31584.5     69.044     0.000
32043.9     69.075     0.000
32510.0     69.107     0.000
32982.8     69.138     0.000
33462.6     69.170     0.000
33949.3     69.203     0.000
34443.1     69.235     0.000
34944.1     69.267     0.000
35452.4     69.300     0.000
35968.0     69.333     0.000
36491.2     69.366     0.000
37022.0     69.400     0.000
37560.5     69.433     0.000
38106.8     69.467     0.000
38661.1     69.501     0.000
39223.4     69.535     0.000
39793.9     69.569     0.000
