"SPL Vertical"
"On-Axis"		"10°"		"-10°"		"20°"		"-20°"		"30°"		"-30°"		"40°"		"-40°"		"50°"		"-50°"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
82.7637	70.3879	82.7637	70.2901	82.7637	70.4844	82.7637	70.1944	82.7637	70.5763	82.7637	70.1041	82.7637	70.6601	82.7637	70.0223	82.7637	70.733	82.7637	69.9514	82.7637	70.7921
85.6934	70.8158	85.6934	70.7169	85.6934	70.9134	85.6934	70.6203	85.6934	71.0065	85.6934	70.5294	85.6934	71.0915	85.6934	70.4473	85.6934	71.1653	85.6934	70.3767	85.6934	71.2254
88.623	71.2415	88.623	71.1418	88.623	71.34	88.623	71.0447	88.623	71.4338	88.623	70.9535	88.623	71.5195	88.623	70.8714	88.623	71.5939	88.623	70.8014	88.623	71.6542
91.5527	71.704	91.5527	71.6027	91.5527	71.8038	91.5527	71.5035	91.5527	71.8983	91.5527	71.4102	91.5527	71.9841	91.5527	71.3262	91.5527	72.0579	91.5527	71.2545	91.5527	72.1172
94.4824	72.1399	94.4824	72.0378	94.4824	72.2403	94.4824	71.9377	94.4824	72.3352	94.4824	71.8434	94.4824	72.4212	94.4824	71.7583	94.4824	72.4949	94.4824	71.6856	94.4824	72.5538
98.1445	72.601	98.1445	72.498	98.1445	72.7019	98.1445	72.3966	98.1445	72.7969	98.1445	72.3008	98.1445	72.8824	98.1445	72.2141	98.1445	72.9552	98.1445	72.1398	98.1445	73.0126
101.807	73.0435	101.807	72.9399	101.807	73.1448	101.807	72.838	101.807	73.2399	101.807	72.7417	101.807	73.3252	101.807	72.6547	101.807	73.3975	101.807	72.5803	101.807	73.454
105.469	73.4599	105.469	73.3555	105.469	73.5619	105.469	73.2528	105.469	73.6577	105.469	73.156	105.469	73.7434	105.469	73.0687	105.469	73.8159	105.469	72.9944	105.469	73.8723
109.131	73.7595	109.131	73.6539	109.131	73.8631	109.131	73.5505	109.131	73.9605	109.131	73.4536	109.131	74.0479	109.131	73.367	109.131	74.1219	109.131	73.2943	109.131	74.1797
112.793	74.0296	112.793	73.9218	112.793	74.1345	112.793	73.8156	112.793	74.2324	112.793	73.7156	112.793	74.3192	112.793	73.6259	112.793	74.3916	112.793	73.5503	112.793	74.4468
116.455	74.3035	116.455	74.1948	116.455	74.4087	116.455	74.0872	116.455	74.5062	116.455	73.9854	116.455	74.5919	116.455	73.8936	116.455	74.6625	116.455	73.8157	116.455	74.7151
120.85	74.5715	120.85	74.461	120.85	74.6784	120.85	74.3519	120.85	74.7772	120.85	74.2487	120.85	74.8639	120.85	74.1562	120.85	74.9348	120.85	74.0783	120.85	74.9873
125.244	74.7295	125.244	74.6158	125.244	74.8392	125.244	74.5033	125.244	74.9404	125.244	74.3971	125.244	75.0286	125.244	74.3018	125.244	75.1004	125.244	74.222	125.244	75.1528
129.639	74.8202	129.639	74.7039	129.639	74.9319	129.639	74.5884	129.639	75.0343	129.639	74.4789	129.639	75.1231	129.639	74.3804	129.639	75.1945	129.639	74.2975	129.639	75.2456
134.033	74.8564	134.033	74.738	134.033	74.9701	134.033	74.6203	134.033	75.0741	134.033	74.5086	134.033	75.1638	134.033	74.4083	134.033	75.2356	134.033	74.3242	134.033	75.2864
138.428	74.8445	138.428	74.7243	138.428	74.9598	138.428	74.6046	138.428	75.065	138.428	74.4913	138.428	75.1554	138.428	74.3897	138.428	75.2273	138.428	74.3048	138.428	75.2777
143.555	74.7836	143.555	74.6587	143.555	74.9033	143.555	74.5345	143.555	75.0123	143.555	74.4171	143.555	75.1057	143.555	74.3123	143.555	75.1797	143.555	74.2254	143.555	75.2312
148.682	74.6686	148.682	74.5383	148.682	74.7926	148.682	74.4082	148.682	74.9048	148.682	74.2846	148.682	75.0001	148.682	74.174	148.682	75.0746	148.682	74.0821	148.682	75.1253
153.809	74.5371	153.809	74.4032	153.809	74.6638	153.809	74.2685	153.809	74.7774	153.809	74.1399	153.809	74.8729	153.809	74.024	153.809	74.9463	153.809	73.927	153.809	74.9946
159.668	74.417	159.668	74.2787	159.668	74.5474	159.668	74.1391	159.668	74.6638	159.668	74.0054	159.668	74.7611	159.668	73.8849	159.668	74.8354	159.668	73.7841	159.668	74.8838
164.795	74.3304	164.795	74.195	164.795	74.4571	164.795	74.0578	164.795	74.5693	164.795	73.9258	164.795	74.6618	164.795	73.8064	164.795	74.7307	164.795	73.7064	164.795	74.7731
170.654	74.0982	170.654	73.9578	170.654	74.2294	170.654	73.8153	170.654	74.3449	170.654	73.6785	170.654	74.4394	170.654	73.555	170.654	74.5086	170.654	73.4523	170.654	74.5497
176.514	73.9128	176.514	73.7683	176.514	74.0475	176.514	73.6213	176.514	74.1656	176.514	73.4799	176.514	74.2618	176.514	73.3523	176.514	74.3314	176.514	73.2461	176.514	74.3717
183.105	73.6412	183.105	73.4859	183.105	73.7854	183.105	73.3274	183.105	73.9115	183.105	73.1745	183.105	74.0137	183.105	73.0361	183.105	74.0875	183.105	72.9206	183.105	74.1298
189.697	73.485	189.697	73.3259	189.697	73.6317	189.697	73.1624	189.697	73.7589	189.697	73.0035	189.697	73.861	189.697	72.8585	189.697	73.9336	189.697	72.7362	189.697	73.9739
196.289	73.3091	196.289	73.1516	196.289	73.4535	196.289	72.9892	196.289	73.5776	196.289	72.8314	196.289	73.6756	196.289	72.6878	196.289	73.7432	196.289	72.5676	196.289	73.7774
202.881	73.1051	202.881	72.9425	202.881	73.2539	202.881	72.7751	202.881	73.3813	202.881	72.6126	202.881	73.4812	202.881	72.4657	202.881	73.5489	202.881	72.344	202.881	73.5817
210.205	72.878	210.205	72.7087	210.205	73.0314	210.205	72.5329	210.205	73.1612	210.205	72.3612	210.205	73.2611	210.205	72.2048	210.205	73.3263	210.205	72.0743	210.205	73.354
217.529	72.6948	217.529	72.5182	217.529	72.8539	217.529	72.334	217.529	72.9873	217.529	72.1533	217.529	73.0886	217.529	71.9883	217.529	73.1532	217.529	71.8511	217.529	73.1783
225.586	72.5068	225.586	72.3286	225.586	72.6661	225.586	72.1413	225.586	72.7982	225.586	71.9564	225.586	72.8969	225.586	71.7866	225.586	72.9573	225.586	71.6443	225.586	72.9766
232.91	72.3506	232.91	72.1672	232.91	72.5132	232.91	71.9739	232.91	72.6461	232.91	71.7829	232.91	72.7423	232.91	71.6076	232.91	72.7964	232.91	71.4611	232.91	72.8051
241.699	72.0622	241.699	71.8679	241.699	72.2348	241.699	71.6637	241.699	72.3763	241.699	71.4635	241.699	72.4791	241.699	71.2821	241.699	72.538	241.699	71.1342	241.699	72.5494
249.756	72.0142	249.756	71.7817	249.756	72.2184	249.756	71.5336	249.756	72.3847	249.756	71.2853	249.756	72.5057	249.756	71.0541	249.756	72.5761	249.756	70.8581	249.756	72.5926
258.545	71.9802	258.545	71.7531	258.545	72.1791	258.545	71.5101	258.545	72.3406	258.545	71.2662	258.545	72.4578	258.545	71.0389	258.545	72.5258	258.545	70.8463	258.545	72.5416
268.066	71.6537	268.066	71.3928	268.066	71.8793	268.066	71.1098	268.066	72.06	268.066	70.8217	268.066	72.1893	268.066	70.5494	268.066	72.2626	268.066	70.3156	268.066	72.2776
277.588	71.8529	277.588	71.6028	277.588	72.0625	277.588	71.3229	277.588	72.2245	277.588	71.0282	277.588	72.3342	277.588	70.7381	277.588	72.3886	277.588	70.4759	277.588	72.3862
287.109	71.6828	287.109	71.4377	287.109	71.8861	287.109	71.1594	287.109	72.0416	287.109	70.8608	287.109	72.1455	287.109	70.5596	287.109	72.1952	287.109	70.2784	287.109	72.1889
