* Measurement data measured by REW V5.20 Beta 53
* Source: C:\Users\Napie\Music\REW\Top Speakers\New Folder\2-LW.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 26, 2020 2:39:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\Napie\Music\REW\Top Speakers\New Folder\2-LW.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: 2-LW
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
244.978516	84.547066	29.5498
246.753738	84.549004	29.6986
248.541809	84.549004	29.8318
250.342850	84.549004	29.9666
252.156937	84.549004	30.1166
253.984161	84.549004	30.3144
255.824646	84.541824	30.5995
257.678467	84.548958	30.9650
259.545685	84.575996	31.5237
261.426483	84.663681	31.9563
263.320862	84.913116	31.9186
265.229004	85.149460	31.5923
267.150970	85.183395	30.9503
269.086853	85.156105	30.2787
271.036774	85.156372	29.9066
273.000824	85.155998	29.6825
274.979095	85.149193	29.5707
276.971710	85.155945	29.5470
278.978760	85.192360	29.6304
281.000336	85.264748	29.6561
283.036591	85.407639	29.4500
285.087585	85.552597	29.0575
287.153442	85.632820	28.4075
289.234283	85.676933	27.6770
291.330200	85.684761	27.0260
293.441284	85.677032	26.4375
295.567688	85.671570	25.9868
297.709503	85.676964	25.5552
299.866821	85.725807	25.0214
302.039795	85.763931	24.4656
304.228485	85.726082	23.9183
306.433044	85.677124	23.4103
308.653595	85.671562	23.0222
310.890228	85.676979	22.6351
313.143066	85.687866	22.1049
315.412231	85.677086	21.5863
317.697845	85.590271	21.2057
320.000000	85.503212	20.9097
322.318848	85.497482	20.7021
324.654510	85.502998	20.5365
327.007080	85.455582	20.3776
329.376709	85.417068	20.1957
331.763519	85.457985	19.9216
334.167603	85.489967	19.6379
336.589142	85.405518	19.4406
339.028198	85.330139	19.2217
341.484924	85.414429	18.8616
343.959473	85.478943	18.4880
346.451935	85.327301	18.1597
348.962463	85.156395	17.9673
351.491211	85.135788	18.1126
354.038239	85.155922	18.3224
356.603760	85.155998	18.3469
359.187866	85.155998	18.3122
361.790680	85.155998	18.2645
364.412354	85.155998	18.1973
367.053040	85.155998	18.1183
369.712860	85.155998	18.0283
372.391968	85.155998	17.9310
375.090454	85.155998	17.8243
377.808533	85.155998	17.7115
380.546265	85.155998	17.5804
383.303864	85.162239	17.3921
386.081451	85.156036	17.2294
388.879150	85.100975	17.1905
391.697144	85.056084	17.1919
