"Early Reflections"
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce (full horizontal rear)"		"Total Early Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"
1,189.45	84.8747	1,189.45	80.4834	1,189.45	86.7276	1,189.45	79.9837	1,189.45	69.8337	1,189.45	83.0058
1,230.47	85.1459	1,230.47	80.5934	1,230.47	87.4343	1,230.47	81.4065	1,230.47	70.6382	1,230.47	83.5999
1,274.41	85.6904	1,274.41	79.9354	1,274.41	88.0437	1,274.41	82.3285	1,274.41	72.9999	1,274.41	84.1413
1,319.82	85.2775	1,319.82	78.8931	1,319.82	88.388	1,319.82	83.4611	1,319.82	73.3121	1,319.82	84.3066
1,366.7	84.6328	1,366.7	80.6267	1,366.7	88.4825	1,366.7	83.7661	1,366.7	73.8053	1,366.7	84.3878
1,413.57	83.6239	1,413.57	80.6376	1,413.57	87.6977	1,413.57	83.7054	1,413.57	74.0189	1,413.57	83.7827
1,463.38	82.8826	1,463.38	81.4907	1,463.38	88.0202	1,463.38	83.4845	1,463.38	72.3141	1,463.38	83.8351
1,516.11	81.6318	1,516.11	82.3202	1,516.11	87.0102	1,516.11	82.5595	1,516.11	72.1348	1,516.11	83.0759
1,568.85	79.5693	1,568.85	81.5643	1,568.85	85.9497	1,568.85	81.6297	1,568.85	70.5318	1,568.85	81.955
1,624.51	78.8491	1,624.51	80.7331	1,624.51	85.5938	1,624.51	81.1646	1,624.51	70.3152	1,624.51	81.4561
1,681.64	77.6344	1,681.64	80.6732	1,681.64	85.8331	1,681.64	81.8953	1,681.64	70.1929	1,681.64	81.6019
1,741.7	76.9832	1,741.7	81.2836	1,741.7	86.1126	1,741.7	82.2348	1,741.7	69.9219	1,741.7	81.8751
1,803.22	76.9515	1,803.22	81.6697	1,803.22	85.9319	1,803.22	82.5871	1,803.22	70.4061	1,803.22	81.9355
1,866.21	78.1648	1,866.21	81.9369	1,866.21	85.6319	1,866.21	82.3668	1,866.21	71.1441	1,866.21	81.8919
1,932.13	78.5058	1,932.13	82.0503	1,932.13	85.3377	1,932.13	82.0975	1,932.13	71.1677	1,932.13	81.7505
1,999.51	80.8838	1,999.51	82.7278	1,999.51	85.4824	1,999.51	82.1377	1,999.51	71.104	1,999.51	82.2523
2,069.82	82.5863	2,069.82	82.3065	2,069.82	86.6127	2,069.82	82.4969	2,069.82	70.5668	2,069.82	83.006
2,143.07	83.4859	2,143.07	82.1955	2,143.07	87.2428	2,143.07	83.084	2,143.07	70.8146	2,143.07	83.5581
2,219.24	83.8551	2,219.24	82.5561	2,219.24	86.9668	2,219.24	83.1993	2,219.24	70.8899	2,219.24	83.5856
2,296.88	84.1339	2,296.88	82.7248	2,296.88	85.8056	2,296.88	82.3976	2,296.88	71.307	2,296.88	83.0715
2,378.91	85.4362	2,378.91	83.2378	2,378.91	85.685	2,378.91	81.8929	2,378.91	71.1269	2,378.91	83.4173
2,462.4	85.9369	2,462.4	83.5896	2,462.4	87.2911	2,462.4	83.1963	2,462.4	71.4686	2,462.4	84.4079
2,548.83	85.2531	2,548.83	84.616	2,548.83	88.274	2,548.83	84.7477	2,548.83	72.3484	2,548.83	85.0847
2,639.65	85.4032	2,639.65	84.3027	2,639.65	87.3372	2,639.65	84.4963	2,639.65	72.7517	2,639.65	84.6491
2,731.93	85.75	2,731.93	83.8444	2,731.93	85.7508	2,731.93	83.8041	2,731.93	73.0795	2,731.93	83.9951
2,828.61	85.1393	2,828.61	82.8162	2,828.61	85.0472	2,828.61	84.3197	2,828.61	72.6828	2,828.61	83.5272
2,928.22	84.5567	2,928.22	83.9214	2,928.22	84.5951	2,928.22	85.1185	2,928.22	72.7717	2,928.22	83.6706
3,030.76	84.2105	3,030.76	84.5128	3,030.76	84.6734	3,030.76	85.1332	3,030.76	72.4479	3,030.76	83.7412
3,137.7	84.15	3,137.7	84.4396	3,137.7	84.5676	3,137.7	84.7308	3,137.7	72.4303	3,137.7	83.5753
3,249.02	84.6844	3,249.02	84.065	3,249.02	83.0751	3,249.02	83.9098	3,249.02	71.7001	3,249.02	83.0658
3,363.28	85.0894	3,363.28	85.0906	3,363.28	82.7106	3,363.28	83.3266	3,363.28	71.04	3,363.28	83.2641
3,481.93	85.6772	3,481.93	85.7115	3,481.93	83.2403	3,481.93	83.5802	3,481.93	71.304	3,481.93	83.7823
3,604.98	86.7944	3,604.98	85.8647	3,604.98	83.8091	3,604.98	84.0828	3,604.98	72.3773	3,604.98	84.4016
3,732.42	87.0217	3,732.42	85.479	3,732.42	85.4725	3,732.42	84.5673	3,732.42	73.233	3,732.42	84.8192
