"CEA2034"													
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
10,195.3	90.3145	10,195.3	88.9173	10,195.3	84.1734	10,195.3	78.6575	10,195.3	60.2392	10,195.3	54.7232	10,195.3	49.9794
10,555.7	90.8601	10,555.7	89.2914	10,555.7	84.5732	10,555.7	78.9437	10,555.7	60.3272	10,555.7	54.6976	10,555.7	49.9794
10,927.7	91.257	10,927.7	89.4753	10,927.7	84.8504	10,927.7	79.1643	10,927.7	60.2904	10,927.7	54.6043	10,927.7	49.9794
11,314.5	91.2843	11,314.5	89.4666	11,314.5	84.9156	11,314.5	79.2797	11,314.5	60.1663	11,314.5	54.5304	11,314.5	49.9794
11,712.9	90.9655	11,712.9	89.2943	11,712.9	84.8028	11,712.9	79.2557	11,712.9	60.0181	11,712.9	54.4709	11,712.9	49.9794
12,126	91.1202	12,126	89.5093	12,126	85.135	12,126	79.4937	12,126	59.995	12,126	54.3538	12,126	49.9794
12,553.7	90.9744	12,553.7	89.4975	12,553.7	85.3247	12,553.7	79.7251	12,553.7	59.7518	12,553.7	54.1522	12,553.7	49.9794
12,996.1	91.2983	12,996.1	89.8269	12,996.1	85.6612	12,996.1	80.0208	12,996.1	59.7854	12,996.1	54.1451	12,996.1	49.9794
13,453.1	91.4018	13,453.1	89.9914	13,453.1	85.8057	13,453.1	80.1376	13,453.1	59.8333	13,453.1	54.1651	13,453.1	49.9794
13,927.7	90.9585	13,927.7	89.6714	13,927.7	85.4995	13,927.7	79.8341	13,927.7	59.8167	13,927.7	54.1513	13,927.7	49.9794
14,419.9	90.4528	14,419.9	89.1789	14,419.9	84.7661	14,419.9	78.9974	14,419.9	60.1609	14,419.9	54.3922	14,419.9	49.9794
14,929.7	90.6231	14,929.7	88.9149	14,929.7	84.0401	14,929.7	77.9462	14,929.7	60.9481	14,929.7	54.8542	14,929.7	49.9794
15,454.1	91.2185	15,454.1	88.6997	15,454.1	83.3439	15,454.1	76.7541	15,454.1	61.925	15,454.1	55.3352	15,454.1	49.9794
15,999	91.725	15,999	88.5089	15,999	82.7472	15,999	75.5348	15,999	62.9535	15,999	55.7411	15,999	49.9794
16,564.5	92.2654	16,564.5	88.5529	16,564.5	82.648	16,564.5	74.9994	16,564.5	63.5329	16,564.5	55.8843	16,564.5	49.9794
17,147.5	92.6412	17,147.5	88.6407	17,147.5	82.8504	17,147.5	75.1948	17,147.5	63.4253	17,147.5	55.7697	17,147.5	49.9794
17,753.9	92.8791	17,753.9	88.7613	17,753.9	83.3002	17,753.9	76.0185	17,753.9	62.7222	17,753.9	55.4406	17,753.9	49.9794
18,377.9	91.909	18,377.9	87.9435	18,377.9	82.9661	18,377.9	76.3205	18,377.9	61.6025	18,377.9	54.9568	18,377.9	49.9794
19,028.3	90.015	19,028.3	86.4443	19,028.3	82.1039	19,028.3	76.015	19,028.3	60.4087	19,028.3	54.3198	19,028.3	49.9794
19,699.2	87.1028	19,699.2	84.385	19,699.2	80.6841	19,699.2	75.0235	19,699.2	59.3409	19,699.2	53.6803	19,699.2	49.9794
