Freq[Hz]    GD[ms]  Phase[Deg]
19053.4      0.054    93.056
19330.5      0.054    85.205
19611.7      0.053    77.263
19897.0      0.053    69.602
20186.4      0.052    62.698
20480.0      0.051    56.826
20777.9      0.050    51.806
21080.1      0.049    47.181
21386.7      0.048    42.737
21697.8      0.046    38.293
22013.4      0.045    33.849
22333.6      0.043    29.404
22658.4      0.042    24.960
22988.0      0.041    20.516
23322.4      0.040    16.072
23661.6      0.038    11.628
24005.8      0.037     7.184
24355.0      0.037     2.740
24709.2      0.036    -1.704
25068.6      0.035    -6.148
25433.2      0.034   -10.593
25803.2      0.033   -15.037
26178.5      0.033   -19.481
26559.3      0.032   -23.925
26945.6      0.032   -28.369
27337.5      0.031   -32.813
27735.2      0.031   -37.257
28138.6      0.031   -41.701
28547.9      0.030   -46.145
28963.1      0.030   -50.589
29384.4      0.029   -55.034
29811.8      0.029   -59.478
30245.4      0.028   -63.922
30685.3      0.028   -68.366
31131.7      0.027   -72.810
31584.5      0.027   -77.254
32043.9      0.027   -81.698
32510.0      0.026   -86.142
32982.8      0.026   -90.587
33462.6      0.025   -95.031
33949.3      0.025   -99.475
34443.1      0.024  -103.919
34944.1      0.024  -108.364
35452.4      0.023  -112.808
35968.0      0.023  -117.252
36491.2      0.023  -121.696
37022.0      0.022  -126.140
37560.5      0.022  -130.584
38106.8      0.022  -134.616
38661.1      0.021  -138.271
39223.4      0.021  -141.002
39793.9      0.020  -143.101
