"CEA2034"													
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
4,287.6	88.2729	4,287.6	86.6767	4,287.6	83.8442	4,287.6	79.4587	4,287.6	47.1974	4,287.6	42.8119	4,287.6	39.9794
4,438.48	88.0923	4,438.48	86.581	4,438.48	83.7456	4,438.48	79.2661	4,438.48	47.2943	4,438.48	42.8148	4,438.48	39.9794
4,595.21	87.9646	4,595.21	86.5043	4,595.21	83.5269	4,595.21	78.8296	4,595.21	47.6541	4,595.21	42.9568	4,595.21	39.9794
4,756.35	87.56	4,756.35	86.2742	4,756.35	83.2571	4,756.35	78.4655	4,756.35	47.7881	4,756.35	42.9965	4,756.35	39.9794
4,924.8	86.9864	4,924.8	85.9365	4,924.8	82.9443	4,924.8	78.0049	4,924.8	47.911	4,924.8	42.9717	4,924.8	39.9794
5,097.66	87.1357	5,097.66	86.1111	5,097.66	82.9705	5,097.66	77.8427	5,097.66	48.2477	5,097.66	43.1199	5,097.66	39.9794
5,277.83	86.8822	5,277.83	85.8767	5,277.83	82.7676	5,277.83	77.5243	5,277.83	48.3319	5,277.83	43.0885	5,277.83	39.9794
5,463.87	86.5768	5,463.87	85.473	5,463.87	82.5039	5,463.87	77.2462	5,463.87	48.2062	5,463.87	42.9484	5,463.87	39.9794
5,657.23	86.7038	5,657.23	85.3527	5,657.23	82.4242	5,657.23	77.0887	5,657.23	48.2434	5,657.23	42.9079	5,657.23	39.9794
5,856.45	87.0045	5,856.45	85.2346	5,856.45	82.2887	5,856.45	76.8439	5,856.45	48.3701	5,856.45	42.9253	5,856.45	39.9794
