"Fundamental + Harmonic distortion components"					
"Woofer"		"Tweeter"		"Port"	
"Frequency [Hz]"	"dB - [V]  (rms)"	"Frequency [Hz]"	"dB - [V]  (rms)"	"Frequency [Hz]"	"dB - [V]  (rms)"
107.666	105.338	587.769	92.795	107.666	102.968
108.032	105.363	588.135	92.7844	108.032	102.913
108.398	105.388	588.501	92.7735	108.398	102.858
108.765	105.412	588.867	92.7623	108.765	102.801
109.131	105.436	589.233	92.7509	109.131	102.745
109.497	105.458	589.6	92.7394	109.497	102.688
109.863	105.481	589.966	92.7277	109.863	102.631
110.229	105.502	590.332	92.7159	110.229	102.574
110.596	105.523	590.698	92.7042	110.596	102.518
110.962	105.544	591.064	92.6925	110.962	102.461
111.328	105.565	591.431	92.6809	111.328	102.404
111.694	105.585	591.797	92.6694	111.694	102.348
112.061	105.605	592.163	92.6582	112.061	102.292
112.427	105.625	592.529	92.6472	112.427	102.236
112.793	105.645	592.896	92.6365	112.793	102.181
113.159	105.664	593.262	92.6262	113.159	102.126
113.525	105.684	593.628	92.6162	113.525	102.072
113.892	105.703	593.994	92.6066	113.892	102.017
114.258	105.722	594.36	92.5975	114.258	101.964
114.624	105.741	594.727	92.5887	114.624	101.91
114.99	105.76	595.093	92.5805	114.99	101.858
115.356	105.787	595.459	92.5726	115.356	101.779
115.723	105.805	595.825	92.5653	115.723	101.727
116.089	105.823	596.191	92.5583	116.089	101.675
116.455	105.841	596.558	92.5519	116.455	101.624
116.821	105.859	596.924	92.5458	116.821	101.572
117.188	105.876	597.29	92.541	117.188	101.521
117.554	105.885	597.656	92.5359	117.554	101.495
117.92	105.902	598.022	92.5312	117.92	101.444
118.286	105.918	598.389	92.5269	118.286	101.393
118.652	105.935	598.755	92.5229	118.652	101.341
119.019	105.951	599.121	92.5193	119.019	101.29
119.385	105.967	599.487	92.516	119.385	101.239
119.751	105.983	599.854	92.513	119.751	101.188
120.117	105.998	600.22	92.5103	120.117	101.137
120.483	106.014	600.586	92.508	120.483	101.086
120.85	106.029	600.952	92.5059	120.85	101.035
121.216	106.043	601.318	92.5041	121.216	100.984
121.582	106.058	601.685	92.5026	121.582	100.934
121.948	106.072	602.051	92.5013	121.948	100.883
122.314	106.086	602.417	92.5004	122.314	100.832
122.681	106.1	602.783	92.4997	122.681	100.782
123.047	106.114	603.149	92.4993	123.047	100.732
123.413	106.128	603.516	92.4991	123.413	100.682
123.779	106.142	603.882	92.4991	123.779	100.633
124.146	106.155	604.248	92.4994	124.146	100.583
