"CEA2034"
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
1,999.51	95.7133	1,999.51	94.8572	1,999.51	91.6558	1,999.51	87.7172	1,999.51	57.1194	1,999.51	53.1808	1,999.51	49.9794
2,069.82	95.7976	2,069.82	95.3267	2,069.82	92.1499	2,069.82	88.3707	2,069.82	56.9353	2,069.82	53.1562	2,069.82	49.9794
2,143.07	95.4352	2,143.07	95.022	2,143.07	91.9416	2,143.07	88.2704	2,143.07	56.731	2,143.07	53.0598	2,143.07	49.9794
2,219.24	94.7502	2,219.24	94.1284	2,219.24	91.4036	2,219.24	87.9146	2,219.24	56.1932	2,219.24	52.7043	2,219.24	49.9794
2,296.88	94.1527	2,296.88	93.9713	2,296.88	91.4621	2,296.88	88.0604	2,296.88	55.8903	2,296.88	52.4886	2,296.88	49.9794
2,378.91	95.1044	2,378.91	94.9796	2,378.91	92.5122	2,378.91	89.1664	2,378.91	55.7926	2,378.91	52.4468	2,378.91	49.9794
2,462.4	96.1354	2,462.4	96.3195	2,462.4	93.7466	2,462.4	90.2088	2,462.4	56.0901	2,462.4	52.5523	2,462.4	49.9794
2,548.83	95.8839	2,548.83	96.1981	2,548.83	93.7405	2,548.83	90.3003	2,548.83	55.8772	2,548.83	52.437	2,548.83	49.9794
2,639.65	95.5644	2,639.65	95.6157	2,639.65	93.346	2,639.65	90.1487	2,639.65	55.4464	2,639.65	52.2491	2,639.65	49.9794
2,731.93	94.7485	2,731.93	95.1585	2,731.93	93.0009	2,731.93	89.7904	2,731.93	55.3475	2,731.93	52.137	2,731.93	49.9794
2,828.61	95.3712	2,828.61	95.7349	2,828.61	93.5445	2,828.61	90.2355	2,828.61	55.4789	2,828.61	52.1698	2,828.61	49.9794
2,928.22	96.656	2,928.22	96.7057	2,928.22	94.4408	2,928.22	90.9437	2,928.22	55.7414	2,928.22	52.2443	2,928.22	49.9794
