* Measurement data measured by REW V5.19
* Source: Fireface UFX+ (24006088), Fireface UFX+ (24006088), 15, volume: no control. Timing signal peak level -15.8 dBFS, measurement signal peak level -13.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  Using an acoustic timing reference
* Dated: Mar 16, 2021 5:26:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.289±0.010 ms (-99 mm, -3.90 in) using estimated IR delay relative to Acoustic reference on  L
* Measurement: L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
190.063, 70.127, 65.720
190.430, 70.052, 64.150
190.796, 69.975, 62.634
191.162, 69.895, 61.150
191.528, 69.807, 59.692
191.895, 69.711, 58.281
192.261, 69.608, 56.944
192.627, 69.501, 55.694
192.993, 69.396, 54.522
193.359, 69.297, 53.409
193.726, 69.208, 52.324
194.092, 69.130, 51.222
194.458, 69.063, 50.032
194.824, 68.997, 48.673
195.190, 68.916, 47.096
195.557, 68.793, 45.337
195.923, 68.609, 43.535
196.289, 68.359, 41.905
196.655, 68.059, 40.656
197.021, 67.741, 39.901
197.388, 67.438, 39.598
197.754, 67.171, 39.593
198.120, 66.935, 39.724
198.486, 66.717, 39.937
198.853, 66.505, 40.287
199.219, 66.307, 40.857
199.585, 66.138, 41.655
199.951, 66.012, 42.591
200.317, 65.925, 43.550
200.684, 65.864, 44.490
201.050, 65.820, 45.471
201.416, 65.800, 46.582
201.782, 65.822, 47.839
202.148, 65.907, 49.133
202.515, 66.058, 50.289
202.881, 66.261, 51.158
203.247, 66.497, 51.683
203.613, 66.752, 51.871
203.979, 67.016, 51.740
204.346, 67.284, 51.290
204.712, 67.547, 50.517
205.078, 67.794, 49.438
205.444, 68.015, 48.108
205.811, 68.206, 46.591
206.177, 68.369, 44.934
206.543, 68.505, 43.160
206.909, 68.609, 41.284
207.275, 68.676, 39.347
207.642, 68.702, 37.432
208.008, 68.695, 35.634
208.374, 68.667, 34.016
208.740, 68.636, 32.562
209.106, 68.611, 31.187
209.473, 68.590, 29.792
209.839, 68.558, 28.346
210.205, 68.504, 26.904
210.571, 68.428, 25.569
210.938, 68.344, 24.407
211.304, 68.267, 23.389
211.670, 68.207, 22.400
212.036, 68.153, 21.322
212.402, 68.085, 20.128
212.769, 67.985, 18.902
213.135, 67.848, 17.791
213.501, 67.686, 16.920
213.867, 67.519, 16.328
214.233, 67.361, 15.975
214.600, 67.216, 15.799
214.966, 67.082, 15.784
215.332, 66.960, 15.964
215.698, 66.862, 16.375
216.064, 66.805, 16.988
216.431, 66.803, 17.690
216.797, 66.856, 18.324
217.163, 66.950, 18.773
217.529, 67.066, 19.006
217.896, 67.190, 19.072
218.262, 67.317, 19.049
218.628, 67.456, 18.989
218.994, 67.615, 18.883
219.360, 67.803, 18.651
219.727, 68.016, 18.180
220.093, 68.237, 17.386
220.459, 68.445, 16.259
220.825, 68.618, 14.882
221.191, 68.749, 13.396
221.558, 68.840, 11.943
221.924, 68.908, 10.609
222.290, 68.968, 9.402
222.656, 69.032, 8.266
223.022, 69.100, 7.139
223.389, 69.167, 5.996
223.755, 69.228, 4.861
224.121, 69.286, 3.776
224.487, 69.350, 2.754
224.854, 69.427, 1.763
225.220, 69.521, 0.737
225.586, 69.628, -0.385
225.952, 69.741, -1.636
226.318, 69.851, -3.010
226.685, 69.954, -4.480
227.051, 70.050, -6.022
227.417, 70.138, -7.622
227.783, 70.221, -9.281
228.149, 70.297, -11.005
228.516, 70.364, -12.800
228.882, 70.419, -14.664
229.248, 70.459, -16.576
229.614, 70.482, -18.506
229.980, 70.490, -20.416
230.347, 70.489, -22.286
230.713, 70.486, -24.127
231.079, 70.485, -25.988
231.445, 70.482, -27.931
231.812, 70.468, -29.996
232.178, 70.427, -32.164
232.544, 70.350, -34.349
232.910, 70.236, -36.427
233.276, 70.096, -38.286
233.643, 69.951, -39.881
234.009, 69.823, -41.272
234.375, 69.722, -42.589
234.741, 69.641, -43.971
235.107, 69.565, -45.488
235.474, 69.476, -47.114
235.840, 69.363, -48.760
236.206, 69.231, -50.332
236.572, 69.090, -51.791
236.938, 68.950, -53.159
237.305, 68.813, -54.493
237.671, 68.674, -55.833
238.037, 68.527, -57.170
238.403, 68.367, -58.461
238.770, 68.198, -59.665
239.136, 68.025, -60.776
239.502, 67.851, -61.814
239.868, 67.674, -62.797
240.234, 67.490, -63.706
240.601, 67.298, -64.488
240.967, 67.109, -65.101
241.333, 66.934, -65.557
241.699, 66.783, -65.943
242.065, 66.653, -66.378
242.432, 66.528, -66.935
242.798, 66.385, -67.589
243.164, 66.209, -68.219
243.530, 66.001, -68.658
243.896, 65.776, -68.766
244.263, 65.560, -68.484
244.629, 65.379, -67.858
244.995, 65.249, -67.011
245.361, 65.173, -66.080
245.728, 65.147, -65.171
246.094, 65.160, -64.335
246.460, 65.208, -63.590
246.826, 65.285, -62.946
247.192, 65.391, -62.422
247.559, 65.521, -62.036
247.925, 65.671, -61.797
248.291, 65.837, -61.692
248.657, 66.020, -61.708
249.023, 66.224, -61.861
249.390, 66.450, -62.206
249.756, 66.694, -62.820
250.122, 66.939, -63.752
250.488, 67.167, -64.986
250.854, 67.365, -66.428
251.221, 67.528, -67.948
251.587, 67.667, -69.439
251.953, 67.798, -70.868
252.319, 67.937, -72.288
252.686, 68.086, -73.804
253.052, 68.238, -75.500
253.418, 68.377, -77.395
253.784, 68.493, -79.442
254.150, 68.584, -81.571
254.517, 68.653, -83.738
254.883, 68.708, -85.942
255.249, 68.748, -88.214
255.615, 68.770, -90.576
255.981, 68.766, -93.017
256.348, 68.732, -95.490
256.714, 68.669, -97.943
257.080, 68.582, -100.343
257.446, 68.475, -102.689
257.812, 68.348, -104.991
258.179, 68.200, -107.243
258.545, 68.029, -109.417
258.911, 67.835, -111.470
259.277, 67.626, -113.379
259.644, 67.406, -115.150
260.010, 67.178, -116.811
260.376, 66.938, -118.375
260.742, 66.681, -119.820
261.108, 66.406, -121.092
261.475, 66.120, -122.137
261.841, 65.832, -122.930
262.207, 65.551, -123.486
262.573, 65.284, -123.832
262.939, 65.035, -123.993
263.306, 64.810, -123.995
263.672, 64.617, -123.898
264.038, 64.458, -123.808
264.404, 64.321, -123.832
264.771, 64.184, -124.009
265.137, 64.026, -124.258
265.503, 63.839, -124.405
265.869, 63.637, -124.279
266.235, 63.451, -123.810
266.602, 63.309, -123.092
266.968, 63.224, -122.330
267.334, 63.182, -121.710
267.700, 63.159, -121.299
268.066, 63.131, -121.026
268.433, 63.093, -120.764
268.799, 63.053, -120.410
269.165, 63.026, -119.948
269.531, 63.023, -119.437
269.897, 63.044, -118.958
270.264, 63.078, -118.555
270.630, 63.115, -118.202
270.996, 63.153, -117.822
271.362, 63.201, -117.354
271.729, 63.274, -116.801
272.095, 63.384, -116.256
272.461, 63.531, -115.854
272.827, 63.699, -115.694
273.193, 63.866, -115.781
273.560, 64.017, -116.035
273.926, 64.150, -116.339
274.292, 64.275, -116.617
274.658, 64.404, -116.864
275.024, 64.546, -117.142
275.391, 64.699, -117.526
275.757, 64.851, -118.050
276.123, 64.994, -118.689
276.489, 65.123, -119.383
276.855, 65.242, -120.072
277.222, 65.359, -120.739
277.588, 65.481, -121.412
277.954, 65.610, -122.147
278.320, 65.739, -122.987
278.687, 65.856, -123.927
279.053, 65.953, -124.902
279.419, 66.032, -125.819
279.785, 66.103, -126.597
280.151, 66.185, -127.222
280.518, 66.292, -127.757
280.884, 66.430, -128.324
281.250, 66.593, -129.030
281.616, 66.765, -129.924
281.982, 66.933, -130.980
282.349, 67.091, -132.141
282.715, 67.241, -133.361
283.081, 67.386, -134.634
283.447, 67.527, -135.981
283.813, 67.659, -137.416
284.180, 67.774, -138.919
284.546, 67.871, -140.434
284.912, 67.953, -141.901
285.278, 68.031, -143.299
285.645, 68.113, -144.662
286.011, 68.204, -146.064
286.377, 68.297, -147.575
286.743, 68.379, -149.218
287.109, 68.439, -150.957
287.476, 68.472, -152.719
287.842, 68.479, -154.425
288.208, 68.469, -156.020
288.574, 68.452, -157.493
288.940, 68.435, -158.859
289.307, 68.422, -160.151
289.673, 68.417, -161.403
290.039, 68.419, -162.646
290.405, 68.426, -163.905
290.771, 68.436, -165.199
291.138, 68.443, -166.535
291.504, 68.446, -167.904
291.870, 68.442, -169.294
292.236, 68.431, -170.705
292.603, 68.412, -172.148
292.969, 68.380, -173.638
293.335, 68.324, -175.152
293.701, 68.236, -176.620
294.067, 68.117, -177.929
294.434, 67.979, -178.972
294.800, 67.843, -179.709
295.166, 67.730, 179.799
295.532, 67.651, 179.418
295.898, 67.600, 179.019
296.265, 67.562, 178.548
296.631, 67.524, 178.040
296.997, 67.485, 177.562
297.363, 67.452, 177.154
297.729, 67.433, 176.798
298.096, 67.431, 176.440
298.462, 67.441, 176.037
298.828, 67.459, 175.588
299.194, 67.480, 175.119
299.561, 67.510, 174.649
299.927, 67.552, 174.160
300.293, 67.607, 173.603
300.659, 67.671, 172.927
301.025, 67.731, 172.115
301.392, 67.778, 171.197
301.758, 67.805, 170.241
302.124, 67.813, 169.333
302.490, 67.810, 168.542
302.856, 67.812, 167.880
303.223, 67.832, 167.276
303.589, 67.874, 166.596
303.955, 67.920, 165.716
304.321, 67.943, 164.619
304.688, 67.915, 163.444
305.054, 67.829, 162.450
305.420, 67.708, 161.907
305.786, 67.604, 161.931
306.152, 67.572, 162.365
306.519, 67.639, 162.820
306.885, 67.782, 162.895
307.251, 67.950, 162.412
307.617, 68.090, 161.461
307.983, 68.178, 160.285
308.350, 68.218, 159.118
308.716, 68.230, 158.084
309.082, 68.236, 157.179
309.448, 68.244, 156.326
309.814, 68.248, 155.462
310.181, 68.240, 154.589
310.547, 68.213, 153.764
310.913, 68.169, 153.061
311.279, 68.113, 152.537
311.646, 68.058, 152.222
312.012, 68.012, 152.117
312.378, 67.987, 152.199
312.744, 67.989, 152.420
313.110, 68.025, 152.716
313.477, 68.092, 153.023
313.843, 68.188, 153.304
314.209, 68.309, 153.538
314.575, 68.457, 153.707
314.941, 68.632, 153.769
315.308, 68.829, 153.668
315.674, 69.042, 153.358
316.040, 69.257, 152.836
316.406, 69.466, 152.140
316.772, 69.666, 151.323
317.139, 69.860, 150.415
317.505, 70.050, 149.415
317.871, 70.234, 148.308
318.237, 70.408, 147.095
318.604, 70.566, 145.812
318.970, 70.709, 144.508
319.336, 70.842, 143.219
319.702, 70.972, 141.944
320.068, 71.103, 140.651
320.435, 71.231, 139.306
320.801, 71.353, 137.904
321.167, 71.463, 136.476
321.533, 71.564, 135.058
321.899, 71.661, 133.666
322.266, 71.759, 132.280
322.632, 71.858, 130.864
322.998, 71.953, 129.392
323.364, 72.040, 127.874
323.730, 72.116, 126.344
324.097, 72.183, 124.837
324.463, 72.246, 123.362
324.829, 72.310, 121.896
325.195, 72.375, 120.404
325.562, 72.435, 118.867
325.928, 72.486, 117.294
326.294, 72.526, 115.719
326.660, 72.557, 114.174
327.026, 72.581, 112.670
327.393, 72.604, 111.201
327.759, 72.627, 109.744
328.125, 72.647, 108.287
328.491, 72.663, 106.832
328.857, 72.674, 105.397
329.224, 72.680, 104.000
329.590, 72.686, 102.652
329.956, 72.695, 101.345
330.322, 72.709, 100.062
330.688, 72.730, 98.779
331.055, 72.757, 97.476
331.421, 72.785, 96.143
331.787, 72.815, 94.782
332.153, 72.845, 93.400
332.520, 72.875, 92.004
332.886, 72.907, 90.592
333.252, 72.941, 89.154
333.618, 72.978, 87.674
333.984, 73.016, 86.135
334.351, 73.052, 84.531
334.717, 73.082, 82.863
335.083, 73.104, 81.147
335.449, 73.117, 79.401
335.815, 73.123, 77.633
336.182, 73.122, 75.845
336.548, 73.115, 74.029
336.914, 73.100, 72.174
337.280, 73.074, 70.280
