* Measurement data measured by REW V5.20 Beta 53
* Source: C:\Users\Napie\Music\REW\Top Speakers\New Folder\13-SP.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 26, 2020 3:31:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\Napie\Music\REW\Top Speakers\New Folder\13-SP.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: 13-SP
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
433.361786	83.554001	11.6379
436.502106	83.554001	11.6540
439.665161	83.554001	11.6500
442.851166	83.559181	11.5980
446.060242	83.554039	11.5610
449.292572	83.512642	11.5950
452.548340	83.471107	11.6956
455.827698	83.460625	11.9141
459.130798	83.470932	12.1403
462.457855	83.512360	12.2604
465.809021	83.553894	12.3338
469.184448	83.557449	12.3638
472.584381	83.554008	12.4069
476.008911	83.559402	12.5571
479.458252	83.581886	12.7046
482.932617	83.646835	12.7727
486.432159	83.718781	12.7532
489.957031	83.768936	12.5797
493.507477	83.801933	12.3508
497.083618	83.807198	12.1423
500.685699	83.802025	11.9586
504.313873	83.802002	11.8376
507.968323	83.802010	11.7522
511.649292	83.802002	11.6860
515.356934	83.802002	11.6440
519.091370	83.802002	11.6217
522.852966	83.802002	11.6329
526.641724	83.798378	11.6971
530.458008	83.801971	11.7946
534.301941	83.823463	11.9293
538.173706	83.859856	12.0487
542.073547	83.915482	12.1058
546.001648	83.978775	12.0883
549.958191	84.043419	11.9449
553.943420	84.097855	11.7446
557.957520	84.118889	11.5443
562.000671	84.134941	11.3298
566.073181	84.177170	11.1060
570.175171	84.214897	10.8718
574.306885	84.220001	10.6143
578.468567	84.215019	10.3738
582.660400	84.216057	10.1928
586.882568	84.215004	10.0534
591.135376	84.209396	9.9316
595.419006	84.198051	9.8870
599.733643	84.164909	10.0031
604.079590	84.151970	10.1843
608.456970	84.211548	10.3927
612.866089	84.297684	10.5377
617.307190	84.384209	10.4733
621.780457	84.462761	10.3275
626.286133	84.498695	10.2156
630.824463	84.544792	10.0338
635.395691	84.673676	9.6953
640.000000	84.792679	9.2606
644.637695	84.803337	8.7368
649.309021	84.793022	8.1988
654.014160	84.834343	7.7504
658.753418	84.875877	7.3145
663.527039	84.881195	6.8299
668.335205	84.876022	6.3496
673.178284	84.875999	5.9266
678.056396	84.875999	5.5015
682.969849	84.886299	4.9974
687.918945	84.876091	4.5166
692.903870	84.803665	4.1018
697.924927	84.711319	3.8555
702.982422	84.612106	3.9751
708.076477	84.553093	4.2201
713.207520	84.616692	4.4332
718.375732	84.710670	4.5558
723.581360	84.761734	4.4047
728.824707	84.792923	4.1976
734.106079	84.782654	4.1523
739.425720	84.792877	4.0934
744.783936	84.912529	3.9214
750.180908	85.040588	3.6204
755.617065	85.087212	3.0847
761.092529	85.104973	2.4832
766.607727	85.117477	1.9685
772.162903	85.123978	1.4867
777.758301	85.128983	1.0555
783.394287	85.139938	0.6096
789.071045	85.179184	0.0670
794.789001	85.206947	-0.5059
800.548340	85.171585	-1.0575
806.349487	85.130119	-1.6240
812.192627	85.151939	-2.2607
818.078125	85.150108	-2.8610
824.006226	85.021698	-3.3426
829.977295	84.881432	-3.6841
835.991699	84.834984	-3.7944
842.049622	84.810081	-3.8010
848.151428	84.756256	-3.8201
854.297485	84.711128	-3.7982
860.488098	84.697372	-3.6790
866.723572	84.710892	-3.5852
873.004211	84.767387	-3.6315
879.330322	84.829796	-3.7892
885.702332	84.860359	-4.0935
892.120483	84.875969	-4.4666
898.585144	84.884056	-4.8586
905.096680	84.876068	-5.2198
911.655396	84.834671	-5.4797
918.261597	84.793121	-5.6505
924.915710	84.782997	-5.6989
931.618042	84.792931	-5.6911
938.368896	84.815491	-5.6459
945.168762	84.869720	-5.6736
952.017822	84.991936	-5.8942
958.916504	85.123528	-6.2991
965.865234	85.208473	-6.9510
972.864319	85.273781	-7.7559
979.914062	85.332191	-8.6400
987.014954	85.371895	-9.6022
994.167236	85.384003	-10.6329
1001.371399	85.372086	-11.6842
1008.627747	85.334816	-12.7141
1015.936646	85.278275	-13.6960
1023.298584	85.200737	-14.5610
1030.713867	85.124222	-15.3943
1038.182739	85.087395	-16.2726
1045.705933	85.039276	-17.1562
1053.283447	84.926758	-18.0581
1060.916016	84.793587	-18.8966
1068.603882	84.664658	-19.5543
1076.347412	84.545456	-20.1496
1084.147095	84.455933	-20.7344
1092.003296	84.377266	-21.3956
1099.916382	84.312790	-22.2863
1107.886841	84.215515	-23.2609
1115.915039	84.016174	-24.2206
1124.001343	83.783852	-25.1746
1132.146362	83.598251	-26.1251
1140.350342	83.361076	-26.9958
1148.613770	82.992531	-27.8907
1156.937134	82.514259	-28.2710
1165.320801	81.851494	-27.5493
1173.765137	81.214554	-25.9648
1182.270752	80.828842	-23.4238
1190.838013	80.579781	-20.3503
1199.467285	80.403069	-17.0682
1208.159180	80.366814	-13.7916
1216.913940	80.567200	-10.8483
1225.732178	80.858871	-8.2199
1234.614380	81.069992	-5.8939
1243.560913	81.371582	-4.1741
1252.572266	81.996414	-3.4565
1261.648926	82.593895	-3.4577
1270.791382	82.789825	-4.1783
1280.000000	82.877686	-5.1541
1289.275391	83.065483	-5.8099
1298.618042	83.247299	-6.4691
1308.028320	83.375381	-7.3058
1317.506836	83.477600	-8.2070
1327.054077	83.564224	-9.0922
1336.670410	83.641708	-10.0322
1346.356567	83.730255	-11.0824
1356.112793	83.798805	-12.2126
1365.939697	83.814751	-13.4233
1375.837891	83.802101	-14.6777
1385.807739	83.784637	-15.9648
1395.849854	83.731300	-17.2092
1405.964844	83.599693	-18.3300
1416.152954	83.446564	-19.3306
1426.415039	83.328575	-20.1724
1436.751465	83.205498	-20.9014
1447.162720	83.046844	-21.5653
1457.649414	82.878685	-22.1210
1468.212158	82.715683	-22.5116
1478.851440	82.562553	-22.8239
1489.567871	82.434219	-23.1014
1500.361816	82.314461	-23.4196
1511.234131	82.210617	-23.9369
1522.185059	82.066795	-24.4489
1533.215454	81.799194	-24.8279
1544.325806	81.497345	-24.9958
1555.516602	81.236053	-24.8050
1566.788574	80.979088	-24.3375
1578.142090	80.707260	-23.6588
1589.578003	80.442093	-22.6759
1601.096680	80.175011	-21.2273
1612.698975	79.977608	-19.5801
1624.385254	79.954224	-17.9031
1636.156250	79.999718	-16.3364
1648.012451	80.030411	-15.0852
1659.954590	80.082764	-14.1219
1671.983398	80.199135	-13.5562
1684.099243	80.280823	-13.1783
1696.302856	80.202545	-12.8634
1708.594971	80.083549	-12.4652
1720.976196	80.012093	-11.7314
1733.447144	79.960182	-10.8551
1746.008423	79.930901	-9.9484
1758.660645	79.917030	-9.0090
1771.404663	79.914307	-8.0862
1784.240967	79.916985	-7.1340
1797.170288	79.913132	-6.1416
1810.193359	79.916962	-5.0505
1823.310791	79.918472	-3.7122
1836.523193	79.978584	-2.3850
1849.831421	80.196945	-1.2714
1863.236084	80.448891	-0.3983
1876.737793	80.622269	0.0729
1890.337524	80.775352	0.3451
1904.035645	80.926125	0.6234
1917.833008	81.086334	0.7469
1931.730469	81.299149	0.5874
1945.728638	81.488297	0.2449
1959.828125	81.570564	-0.2713
1974.029907	81.607903	-0.8157
1988.334473	81.639587	-1.2257
2002.742798	81.652985	-1.5419
2017.255493	81.645309	-1.7703
2031.873291	81.625092	-1.8560
2046.597168	81.585503	-1.6982
2061.427734	81.569969	-1.4383
2076.365479	81.642372	-1.1735
2091.411865	81.735619	-0.9379
2106.566895	81.786850	-0.7970
2121.832031	81.844719	-0.7520
2137.207764	81.961838	-0.8503
2152.694824	82.065674	-1.0183
2168.294189	82.074715	-1.2195
2184.006592	82.066025	-1.3884
2199.832764	82.101631	-1.4119
2215.773682	82.147797	-1.3951
2231.830078	82.189896	-1.4252
2248.002686	82.230835	-1.4470
2264.292725	82.261604	-1.4110
2280.700684	82.303764	-1.3850
2297.227539	82.390488	-1.4291
2313.874268	82.478653	-1.5186
2330.641602	82.520958	-1.6500
2347.530273	82.561783	-1.8192
2364.541504	82.644112	-2.0110
2381.676025	82.726646	-2.2547
2398.934570	82.778191	-2.6121
2416.318359	82.809898	-2.9725
2433.827881	82.813934	-3.2336
2451.464355	82.816963	-3.4293
2469.228760	82.844971	-3.5188
2487.121826	82.892754	-3.6254
2505.144531	82.979858	-3.8898
2523.297852	83.057716	-4.2224
2541.582764	83.068329	-4.6132
2560.000000	83.058060	-4.9596
2578.550781	83.051323	-5.1191
2597.236084	83.057915	-5.1997
2616.056641	83.102440	-5.2518
2635.013672	83.164711	-5.3107
2654.108154	83.226387	-5.4063
2673.340820	83.305603	-5.6039
2692.713135	83.435020	-6.0093
2712.225586	83.553520	-6.5313
2731.879395	83.587219	-7.1329
2751.675781	83.604912	-7.7542
2771.615479	83.657028	-8.2632
2791.699707	83.727638	-8.8372
2811.929688	83.831337	-9.6233
2832.305908	83.925629	-10.5840
2852.830078	83.970703	-11.7763
2873.502930	83.972099	-13.0613
2894.325439	83.918839	-14.3491
2915.298828	83.821541	-15.5458
2936.424316	83.671280	-16.4829
2957.702881	83.515648	-17.2936
2979.135742	83.431442	-18.0956
3000.723633	83.323601	-18.7723
3022.468262	83.076981	-19.2308
3044.370117	82.825058	-19.5150
3066.430908	82.710655	-19.6438
3088.651611	82.595627	-19.6036
3111.033203	82.343727	-19.4254
3133.577148	82.086136	-18.9948
3156.284180	81.921829	-18.1147
3179.156006	81.816360	-17.0592
3202.193359	81.776085	-16.0383
3225.397949	81.774940	-15.0565
3248.770508	81.788651	-14.2068
3272.312500	81.817841	-13.4303
3296.024902	81.849632	-12.6844
3319.909180	81.900696	-12.0109
3343.966797	81.991272	-11.4225
3368.198486	82.098473	-10.9648
3392.605713	82.211288	-10.7212
3417.189941	82.313576	-10.5924
3441.952393	82.375252	-10.5171
3466.894287	82.426765	-10.4623
3492.016846	82.490936	-10.3567
3517.321289	82.561653	-10.2544
3542.809326	82.642181	-10.1914
3568.481934	82.726601	-10.1532
3594.340576	82.804489	-10.1215
3620.386719	82.892540	-10.1417
3646.621582	83.016457	-10.2671
3673.046387	83.139442	-10.4559
3699.662842	83.217522	-10.6843
3726.472168	83.296593	-10.9507
3753.475586	83.419220	-11.2269
3780.675049	83.553398	-11.5693
3808.071289	83.672874	-12.0115
3835.666016	83.801353	-12.5939
3863.460938	83.971291	-13.3817
3891.457275	84.131294	-14.3330
3919.656250	84.224434	-15.4390
3948.059814	84.297661	-16.6620
3976.668945	84.389824	-17.9390
4005.485596	84.470650	-19.3366
4034.510986	84.523743	-20.9146
4063.746582	84.544991	-22.6323
4093.194336	84.536804	-24.5333
4122.855469	84.463577	-26.4238
4152.730957	84.262451	-28.1312
4182.823730	84.016205	-29.6305
4213.133789	83.807274	-30.8492
4243.664062	83.577187	-31.7584
4274.415527	83.254425	-32.2495
4305.389648	82.957275	-32.4893
4336.588379	82.826874	-32.5774
4368.013184	82.727509	-32.6118
4399.665527	82.546921	-32.7921
4431.547363	82.349968	-32.9138
4463.660156	82.159782	-32.7776
4496.005371	81.992752	-32.5582
4528.585449	81.896500	-32.3943
4561.401367	81.800522	-32.2020
4594.455078	81.622337	-31.9601
4627.748535	81.442818	-31.6150
4661.283203	81.322868	-31.0323
4695.060547	81.243286	-30.4318
4729.083008	81.224426	-30.0240
4763.352051	81.207153	-29.7103
4797.869141	81.120476	-29.4861
4832.636719	81.018501	-29.2722
4867.655762	80.942001	-28.9817
4902.928711	80.862411	-28.6309
4938.457520	80.754715	-28.2150
4974.243652	80.647484	-27.7117
5010.289062	80.561562	-27.0641
5046.595703	80.496269	-26.3695
5083.165527	80.468857	-25.7236
5120.000000	80.446136	-25.0763
5157.101562	80.388298	-24.4219
5194.472168	80.331261	-23.7187
5232.113281	80.300293	-22.8970
5270.027344	80.289009	-22.0333
5308.216309	80.305321	-21.2021
5346.681641	80.330864	-20.3434
5385.426270	80.333191	-19.4041
5424.451172	80.361748	-18.4349
5463.758789	80.461670	-17.3961
5503.351562	80.615097	-16.5078
5543.230957	80.844170	-16.0186
5583.399414	81.072937	-15.8084
5623.859375	81.210518	-15.8701
5664.611816	81.321465	-16.1064
5705.660156	81.455666	-16.4114
5747.005859	81.569496	-16.8027
5788.650879	81.631973	-17.3213
5830.597656	81.652992	-17.7959
5872.848633	81.611740	-18.0317
5915.405762	81.570129	-18.1357
5958.271484	81.606071	-18.1385
6001.447266	81.652779	-18.0795
6044.936523	81.651268	-18.0195
6088.740234	81.652946	-17.9236
6132.861816	81.699646	-17.7514
6177.303223	81.763657	-17.5768
6222.066406	81.827599	-17.4586
6267.154297	81.900612	-17.4041
6312.568359	81.997078	-17.4675
6358.312012	82.084610	-17.5664
6404.386719	82.116241	-17.6332
6450.795898	82.148773	-17.6759
6497.541016	82.232948	-17.6311
6544.625000	82.342400	-17.6466
6592.049805	82.479492	-17.8849
6639.818359	82.607407	-18.2429
6687.933594	82.676331	-18.6917
6736.396973	82.726753	-19.1656
6785.211426	82.786133	-19.5720
6834.379883	82.845695	-19.9630
6883.904785	82.904564	-20.3553
6933.788574	82.965668	-20.7657
