"CEA2034"
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
12,996.1	83.0496	12,996.1	81.8905	12,996.1	77.6414	12,996.1	72.2424	12,996.1	49.6275	12,996.1	44.2285	12,996.1	39.9794
13,453.1	82.8991	13,453.1	81.8266	13,453.1	77.5703	13,453.1	72.2238	13,453.1	49.5822	13,453.1	44.2357	13,453.1	39.9794
13,927.7	82.7978	13,927.7	81.8442	13,927.7	77.5413	13,927.7	72.1875	13,927.7	49.6361	13,927.7	44.2823	13,927.7	39.9794
14,419.9	82.816	14,419.9	81.8191	14,419.9	77.4341	14,419.9	72.0422	14,419.9	49.7563	14,419.9	44.3645	14,419.9	39.9794
14,929.7	82.9547	14,929.7	81.8436	14,929.7	77.3192	14,929.7	71.8382	14,929.7	49.9847	14,929.7	44.5038	14,929.7	39.9794
15,454.1	83.0301	15,454.1	81.8086	15,454.1	77.1884	15,454.1	71.5796	15,454.1	50.2083	15,454.1	44.5995	15,454.1	39.9794
15,999	82.6489	15,999	81.3364	15,999	76.6952	15,999	70.9681	15,999	50.3477	15,999	44.6205	15,999	39.9794
16,564.5	81.9525	16,564.5	80.599	16,564.5	75.8967	16,564.5	70.0944	16,564.5	50.4841	16,564.5	44.6818	16,564.5	39.9794
17,147.5	81.3997	17,147.5	79.9489	17,147.5	75.1529	17,147.5	69.2464	17,147.5	50.6819	17,147.5	44.7754	17,147.5	39.9794
17,753.9	80.5832	17,753.9	79.0789	17,753.9	74.3189	17,753.9	68.3261	17,753.9	50.7323	17,753.9	44.7395	17,753.9	39.9794
18,377.9	79.0309	18,377.9	77.5553	18,377.9	72.9214	18,377.9	66.9641	18,377.9	50.5706	18,377.9	44.6133	18,377.9	39.9794
19,028.3	77.3926	19,028.3	75.9093	19,028.3	71.2036	19,028.3	65.1589	19,028.3	50.7297	19,028.3	44.6851	19,028.3	39.9794
19,699.2	76.0172	19,699.2	74.4837	19,699.2	69.644	19,699.2	63.3886	19,699.2	51.0745	19,699.2	44.8191	19,699.2	39.9794
