* Measurement data measured by REW V5.20 Beta 53
* Source: C:\Users\Napie\Music\REW\Top Speakers\New Folder\4-SP.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 26, 2020 2:53:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\Napie\Music\REW\Top Speakers\New Folder\4-SP.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: 4-SP
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
678.056396	83.437080	-12.7029
682.969849	83.355545	-12.6805
687.918945	83.275238	-12.6392
692.903870	83.280716	-12.6296
697.924927	83.275101	-12.5435
702.982422	83.139183	-12.2664
708.076477	83.021301	-11.8657
713.207520	83.067337	-11.2839
718.375732	83.169601	-10.7834
723.581360	83.269524	-10.6680
728.824707	83.361710	-10.7604
734.106079	83.417351	-11.0126
739.425720	83.448921	-11.3348
744.783936	83.454445	-11.6251
750.180908	83.449013	-11.8712
755.617065	83.438072	-11.9750
761.092529	83.448891	-12.0934
766.607727	83.536163	-12.3630
772.162903	83.623741	-12.7513
777.758301	83.634949	-13.3013
783.394287	83.624054	-13.9208
789.071045	83.628868	-14.5146
794.789001	83.624046	-15.1337
800.548340	83.595634	-15.8104
806.349487	83.546211	-16.5076
812.192627	83.482971	-17.2567
818.078125	83.378471	-17.8831
824.006226	83.175385	-18.2065
829.977295	82.969658	-18.2712
835.991699	82.853447	-17.9901
842.049622	82.783180	-17.5806
848.151428	82.749138	-17.2385
854.297485	82.739990	-16.9449
860.488098	82.739662	-16.7410
866.723572	82.752930	-16.6401
873.004211	82.785370	-16.6691
879.330322	82.818901	-16.8301
885.702332	82.839020	-17.1561
892.120483	82.840034	-17.5834
898.585144	82.811089	-18.0812
905.096680	82.753265	-18.5833
911.655396	82.662521	-19.0418
918.261597	82.543488	-19.3691
924.915710	82.384850	-19.4440
931.618042	82.230530	-19.3177
938.368896	82.123764	-18.9443
945.168762	82.056175	-18.4967
952.017822	82.045113	-18.1266
958.916504	82.055946	-17.8558
965.865234	82.061432	-17.7853
972.864319	82.056046	-17.8277
979.914062	82.023605	-17.9473
987.014954	81.969254	-18.0875
994.167236	81.892693	-18.1973
1001.371399	81.794380	-18.2241
1008.627747	81.669403	-18.1088
1015.936646	81.533577	-17.8206
1023.298584	81.397552	-17.3019
1030.713867	81.272385	-16.5747
1038.182739	81.169029	-15.6265
1045.705933	81.098221	-14.5051
1053.283447	81.068642	-13.2046
1060.916016	81.097725	-11.8746
1068.603882	81.220352	-10.6393
1076.347412	81.393227	-9.5729
1084.147095	81.585815	-8.8214
1092.003296	81.793289	-8.2935
1099.916382	81.985176	-7.8857
1107.886841	82.207970	-7.7747
1115.915039	82.540871	-8.1345
1124.001343	82.856987	-8.8757
1132.146362	83.027267	-10.0410
1140.350342	83.133675	-11.4026
1148.613770	83.221535	-12.7241
1156.937134	83.274841	-14.0693
1165.320801	83.295876	-15.4652
1173.765137	83.274200	-16.7904
1182.270752	83.177582	-17.9031
1190.838013	83.073387	-18.8882
1199.467285	83.036476	-19.7355
1208.159180	83.014084	-20.5925
1216.913940	82.983406	-21.6395
1225.732178	82.927269	-22.7708
1234.614380	82.821480	-23.9929
1243.560913	82.664696	-25.1439
1252.572266	82.432678	-26.0776
1261.648926	82.170097	-26.7509
1270.791382	81.908226	-27.0214
1280.000000	81.663910	-27.0423
1289.275391	81.479202	-26.9270
1298.618042	81.309708	-26.6575
1308.028320	81.104584	-26.2407
1317.506836	80.923683	-25.7115
1327.054077	80.821190	-25.0432
1336.670410	80.765137	-24.4271
1346.356567	80.758003	-24.0836
1356.112793	80.749084	-23.9034
1365.939697	80.674973	-23.8766
1375.837891	80.575447	-23.9198
1385.807739	80.485802	-23.9996
1395.849854	80.357620	-23.9556
